Date,Open,High,Low,Close,Volume,KDJ ,W%R ,RSI,label
2012/6/29,82.571426,83.428574,82.035713,83.428574,105375200,0.409556251,0.392861,43.22941216,0.904281
2012/7/2,83.53286,84.781425,83.371429,84.645714,100023000,0.290915954,0.274285,14.88381005,0.961434
2012/7/3,84.982857,85.714287,84.85714,85.629997,60428200,-0.217142952,-0.227143,-1.3516201,1.449997
2012/7/5,85.794289,87.762856,85.664284,87.134285,121095800,0.493912847,0.470001,28.7060589,0.811432
2012/7/6,86.727142,86.919998,85.940002,86.554283,104732600,-0.37444431,-0.385719,237.3652928,0.932853
2012/7/9,86.471428,87.699997,86.30143,87.69857,94851400,0.413087173,0.39714,10.91392092,-0.255714
2012/7/10,88.281425,88.552856,86.472855,86.887146,127989400,-0.562220192,-0.585709,195.7784025,1.809997
2012/7/11,86.58857,86.808571,85.317146,86.347145,117330500,0.047179619,0.029999,247.7889703,-1.692855
2012/7/12,85.748573,86.209999,84.668571,85.557144,107010400,-0.093547079,-0.111427,195.6471902,-0.839997
2012/7/13,86.135712,86.741432,85.714287,86.424286,77856800,-0.278159542,-0.290001,-13.10852321,0.387139
2012/7/16,86.445717,87.374283,86.431427,86.701431,75315100,-0.719204999,-0.729996,-225.4135101,0.310005
2012/7/17,87.255714,87.35714,86.164284,86.705711,73406200,-0.444918066,-0.458573,-20170.64226,0.809997
2012/7/18,86.655716,86.905716,86.222855,86.608574,63175000,-0.606423508,-0.614281,979.31832,-0.599998
2012/7/19,87.325714,87.907143,86.571426,87.760002,109215400,0.203770636,0.188576,11.39017215,0.669998
2012/7/20,87.575714,87.777145,86.242859,86.328575,99367800,-0.896804666,-0.914284,149.0694519,0.25
2012/7/23,84.914284,86.557144,83.958572,86.261429,121993900,1.332878462,1.302857,1372.013128,-2.66143
2012/7/24,86.76857,87.097145,85.501427,85.845711,141283100,-0.637394871,-0.655716,293.7612943,1.854286
2012/7/25,82.065712,82.971428,81.428574,82.138573,219328200,-0.271405996,-0.290001,109.0025805,-4.702858
2012/7/26,82.822861,82.914284,81.480003,82.125717,101658200,-0.336987642,-0.354286,6471.262173,0.757149
2012/7/27,82.144287,83.690002,81.655716,83.594284,100984100,0.962875396,0.938568,26.20336753,-0.678574
2012/7/30,84.417145,85.634285,83.974289,85.004288,94785600,0.049383713,0.029999,24.30772595,2.272858
2012/7/31,86.175713,87.385712,86.102859,87.251427,115581900,0.163248352,0.148568,47.17650432,1.758568
